层级编码,任务名称,任务描述,责任主体,所需资源
2,组织现场抢险救援行动 → 安排受伤人员救治流程,医疗救护组评估伤情制定救治与转运方案,医疗救护组,急救药品、担架、救护车
3,安排受伤人员救治流程 → 实施现场紧急救护,现场救援人员持续进行包扎、止血、心肺复苏等紧急救治,医疗救护组,急救包、心肺复苏设备
3,安排受伤人员救治流程 → 联系120并护送转运,拨打120并派员引导救护车协助医务人员安全转运伤员,医疗救护组,通讯设备、转运路线图
2,组织现场抢险救援行动 → 调配装备进行工程抢险,工程抢险组调动排水、堵漏、加固等装备控制险情,工程抢险组,排水泵、堵漏工具、吊装设备
3,调配装备进行工程抢险 → 封锁现场设置警戒,在事故周边设置警戒带和警示标志维护救援秩序,工程抢险组/综合协调组,警戒带、警示标志
3,调配装备进行工程抢险 → 排水堵漏稳定结构,根据破损情况实施排水、堵漏、加固或抢滩坐浅等措施,工程抢险组,抢险设备、加固材料
2,组织现场抢险救援行动 → 协调交通疏导与现场秩序,综合协调组配合公安交通实施交通管制和人员疏散,综合协调组,交通管制设施、疏导方案
3,协调交通疏导与现场秩序 → 组织撤离非作业人员,引导无关人员撤离事故区并设置安全集合点保持通道畅通,综合协调组,疏散预案、引导人员
2,组织现场抢险救援行动 → 保持内外通信与信息传递,信息联络组保持与现场指挥、项目部和外部单位的信息同步,信息联络组,通信装备、联络记录
3,保持内外通信与信息传递 → 对接医院海事等外部单位,持续对接120、海事局、搜救中心及政府部门协调支援力量,信息联络组,联络清单、对外通报材料
1,进入善后与恢复阶段,险情受控后转入善后处置、事故调查和总结评估形成闭环管理,善后处置组/技术支持组/项目部应急领导小组,善后资金、法律支持、档案资料
2,进入善后与恢复阶段 → 落实安置补偿和后勤保障,善后处置组落实受影响人员安置补偿及心理支持,善后处置组,补偿资金、安置方案、心理服务资源
3,落实安置补偿和后勤保障 → 提供心理慰藉与家属沟通,安排心理疏导并与伤亡人员家属沟通安抚情绪,善后处置组,心理辅导人员、慰问材料
2,进入善后与恢复阶段 → 组织事故调查与责任认定,技术支持组联合相关机构查明事故原因与责任,技术支持组/外部机构,调查工具、法律支持
3,组织事故调查与责任认定 → 收集日志影像等调查资料,整理航海日志、监测记录和影像材料支撑调查认定,技术支持组,航海日志、影像资料、取证设备
2,进入善后与恢复阶段 → 评估响应成效提出改进,项目部应急领导小组复盘应急行动并提出改进措施,项目部应急领导小组,评估模型、会议纪要
3,评估响应成效提出改进 → 形成总结评估书面报告,编制事故处置总结报告归档纳入知识库,项目部应急领导小组,总结报告模板、档案系统
