层级,任务路径,任务名称,任务描述,责任主体,所需资源,父级任务,前置任务,后置任务
3,总体应急目标 > 应急响应 > 任务分工 > 下达指令,下达指令,组长向各小组明确任务,项目部领导,任务分工表,任务分工,任务分工,任务分工
1,总体应急目标 > 现场处置,现场处置,实施救援、控制险情、人员疏散,工程抢险组；医疗救护组；综合协调组,抢险设备；医疗物资；交通管制设施,总体应急目标,应急响应,后期恢复
2,总体应急目标 > 现场处置 > 人员救护,人员救护,现场急救、转运医院,医疗救护组,急救药品；担架；救护车,现场处置,现场处置,工程抢险
3,总体应急目标 > 现场处置 > 人员救护 > 现场急救,现场急救,止血、包扎、心肺复苏,医疗救护组,急救药品；担架,人员救护,人员救护,医院转运
3,总体应急目标 > 现场处置 > 人员救护 > 医院转运,医院转运,联系120并护送伤员,医疗救护组,救护车；转运路线,人员救护,现场急救,人员救护
2,总体应急目标 > 现场处置 > 工程抢险,工程抢险,设备抢险、险情控制,工程抢险组,排水泵；堵漏工具；吊装设备,现场处置,人员救护,综合协调
3,总体应急目标 > 现场处置 > 工程抢险 > 封锁险区,封锁险区,设立警戒线，禁止无关人员进入,工程抢险组,警示标志；围栏,工程抢险,工程抢险,险情控制
3,总体应急目标 > 现场处置 > 工程抢险 > 险情控制,险情控制,排水、堵漏、加固等措施,工程抢险组,抢险设备,工程抢险,封锁险区,工程抢险
2,总体应急目标 > 现场处置 > 综合协调,综合协调,交通管制、人员疏散、现场保护,综合协调组,警示标志；交通管制设施,现场处置,工程抢险,信息联络
3,总体应急目标 > 现场处置 > 综合协调 > 疏散人员,疏散人员,组织施工人员撤离危险区,综合协调组,交通管制设施,综合协调,综合协调,综合协调
2,总体应急目标 > 现场处置 > 信息联络,信息联络,对内传达、对外联络,信息联络组,通信装备,现场处置,综合协调,现场处置
3,总体应急目标 > 现场处置 > 信息联络 > 外部联络,外部联络,联系医院、政府部门,信息联络组,通讯设备,信息联络,信息联络,信息联络
1,总体应急目标 > 后期恢复,后期恢复,事故调查、善后处置、总结评估,善后处置组；技术支持组,法律支持；补偿资金；评估报告,总体应急目标,现场处置,总体应急目标
2,总体应急目标 > 后期恢复 > 善后工作,善后工作,人员安置、补偿、心理安抚,善后处置组,补偿资金；安置方案,后期恢复,后期恢复,事故调查
3,总体应急目标 > 后期恢复 > 善后工作 > 心理安抚,心理安抚,对伤亡人员家属进行安抚,善后处置组,心理辅导人员,善后工作,善后工作,善后工作
2,总体应急目标 > 后期恢复 > 事故调查,事故调查,事故原因调查、责任认定,技术支持组；外部机构,调查报告；法律文件,后期恢复,善后工作,总结评估
3,总体应急目标 > 后期恢复 > 事故调查 > 资料收集,资料收集,收集事故记录、日志、证据,技术支持组,调查工具,事故调查,事故调查,事故调查
2,总体应急目标 > 后期恢复 > 总结评估,总结评估,应急响应效果评估,项目部应急领导小组,评估报告,后期恢复,事故调查,后期恢复
3,总体应急目标 > 后期恢复 > 总结评估 > 编写报告,编写报告,形成事故应急评估报告,项目部应急领导小组,总结报告模板,总结评估,总结评估,总结评估
